Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dhaka,1964,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,9,3,0
Dhaka,1969,5,0,6,0,0,11,0,0,0,0,25,0,0,0,0,0,0,21,2,0,0,5,1,8,2,0,0,4,9,1,0,0
Dhaka,1970,5,33,0,1,0,0,0,0,0,9,0,0,0,0,0,0,50,10,60,4,0,0,0,0,0,0,18,7,0,0,0,0
Dhaka,1971,5,22,0,13,21,0,0,0,80,0,1,32,0,0,18,34,28,0,0,0,0,0,0,0,0,37,0,50,8,0,0,0
Dhaka,1972,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,0,0,14,231,20,0,0,0,0,0
Dhaka,1973,5,33,4,0,0,4,21,75,0,34,3,54,100,0,0,0,0,11,25,5,3,4,106,27,28,36,6,10,0,0,2,30
Dhaka,1975,5,0,0,0,10,0,0,0,0,0,4,4,0,59,8,21,15,0,0,14,0,43,36,10,0,0,24,0,0,47,5,17
Dhaka,1976,5,0,0,0,0,1,12,1,24,24,76,6,17,5,0,6,0,24,1,0,36,9,0,18,0,0,145,14,0,0,0,40
Dhaka,1964,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,0,0,0,0,0,0,0,***,0,12,0,0,0,
Dhaka,1964,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1965,2,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,***,,,
Dhaka,1965,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0
Dhaka,1977,5,51,10,0,0,6,48,1,0,0,1,3,3,37,25,1,0,13,1,43,0,1,1,0,21,0,0,0,34,8,73,0
Dhaka,1978,5,2,6,0,0,1,16,5,6,5,107,0,1,56,3,9,0,0,0,0,0,1,1,38,53,38,65,22,1,1,5,12
Dhaka,1979,5,0,35,0,1,0,0,0,0,0,0,0,0,0,0,36,7,5,0,0,0,2,0,20,0,0,0,0,8,0,0,0
Dhaka,1980,5,1,0,11,0,21,60,2,4,74,0,25,25,5,1,15,4,0,21,2,28,1,0,0,0,0,19,1,32,39,2,21
Dhaka,1981,5,0,0,0,0,20,8,0,0,0,10,0,0,14,0,26,1,37,32,0,0,0,20,0,0,13,1,1,1,43,45,0
Dhaka,1982,5,0,19,0,0,0,0,0,9,3,21,27,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,3
Dhaka,1983,5,3,38,28,44,16,45,0,24,0,0,43,1,0,0,0,4,0,2,0,53,27,1,18,1,0,0,0,0,0,0,0
Dhaka,1965,11,5,0,102,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1965,12,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1966,1,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Dhaka,1966,2,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,
Dhaka,1966,3,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Dhaka,1984,5,39,1,7,14,0,13,0,14,19,91,44,27,14,44,91,38,0,0,0,0,0,0,0,0,36,76,78,60,0,1,0
Dhaka,1985,5,0,0,25,10,20,24,12,0,0,0,0,12,21,22,56,3,0,0,0,0,0,23,0,0,6,42,12,8,4,0,0
Dhaka,1986,5,11,0,0,8,9,22,5,0,0,0,0,1,0,10,0,19,0,24,49,13,0,0,0,0,0,19,1,0,0,0,0
Dhaka,1987,5,56,0,11,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,17,1,0,0,13,0,0,0,0,0,0
Dhaka,1988,5,0,0,0,1,0,0,4,1,51,5,1,0,1,5,0,21,1,0,2,4,59,82,93,35,32,21,0,0,6,86,2
Dhaka,1989,5,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,5,17,3,24,0,1,30,5,0,32,1,4,16,38,0,22
Dhaka,1990,5,0,0,1,0,29,0,0,0,0,0,0,0,17,9,51,18,0,0,0,10,10,0,34,0,0,11,3,0,1,8,0
Dhaka,1966,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,
Dhaka,1966,12,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1967,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1967,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1967,3,0,0,0,0,0,0,0,0,31,27,0,0,11,0,15,0,0,2,0,3,73,0,0,0,5,1,0,0,0,0,0
Dhaka,1991,5,0,0,0,28,0,54,0,0,50,29,0,24,0,36,7,6,9,66,14,0,0,49,11,0,0,0,1,123,6,10,6
Dhaka,1992,5,10,16,10,3,0,0,2,0,0,0,0,0,0,0,8,0,1,9,0,1,22,3,0,0,0,7,9,7,0,0,45
Dhaka,1993,5,7,42,99,25,1,4,20,42,0,92,0,15,21,41,0,21,44,6,53,0,2,0,0,0,0,0,0,0,6,13,2
Dhaka,1994,5,0,0,0,0,0,0,7,0,11,0,8,0,0,0,0,6,31,40,43,0,49,0,1,0,0,53,2,0,0,0,3
